ID,RUN,Trial ,PostRT,PreRT,Fate,Acc_coded,Source_Acc_coded,Hit_Acc_coded,Stimuli,Location,Category,Order_Session,PreITI1duration,PostITI1duration
94719,1,RUN1-5,587,269,Source hit,1,1,1,Stimuli\slidetray.jpg,Right,Electronics,1,6000,2000
94719,1,RUN1-6,263,587,Source hit,1,1,1,Stimuli\airhockeytable.jpg,Right,Game & entertainment,1,2000,4000
94719,1,RUN1-7,395,263,Source hit,1,1,1,Stimuli\blackolive.jpg,Right,Food,1,4000,6000
94719,1,RUN1-8,808,395,Source hit,1,1,1,Stimuli\cookiecutter.jpg,Right,Kitchen,1,6000,4000
94719,1,RUN1-9,268,808,Source miss,3,0,1,Stimuli\racquetballracket.jpg,Right,Outdoor & sport,1,4000,2000
94719,1,RUN1-10,189,268,Source miss,3,0,1,Stimuli\salsa.jpg,Left,Food,1,2000,6000
94719,1,RUN1-11,665,189,Source hit,1,1,1,Stimuli\postitnote.jpg,Left,Stationary,1,6000,2000
94719,1,RUN1-12,256,665,Source miss,3,0,1,Stimuli\bridge.jpg,Right,Building infrastructure,1,2000,4000
94719,1,RUN1-13,565,256,Source hit,1,1,1,Stimuli\partyhat.jpg,Right,Decorations & Gift,1,4000,2000
94719,1,RUN1-14,352,565,Source hit,1,1,1,Stimuli\giftbow02b.jpg,Right,Decorations & Gift,1,2000,4000
94719,1,RUN1-15,206,352,Source hit,1,1,1,Stimuli\saxophone.jpg,Right,Musical instrument,1,4000,4000
94719,1,RUN1-16,187,206,miss,4,0,0,Stimuli\fireextinguisher01.jpg,Right,Household article,1,4000,4000
94719,1,RUN1-17,347,187,Source miss,3,0,1,Stimuli\flyswatter.jpg,Left,Household article,1,4000,2000
94719,1,RUN1-18,290,347,Source hit,1,1,1,Stimuli\womenwashroomsign.jpg,Left,Building infrastructure,1,2000,6000
94719,1,RUN1-19,663,290,Source miss,3,0,1,Stimuli\snowman.jpg,Left,Outdoor & sport,1,6000,2000
94719,1,RUN1-20,314,663,Source hit,1,1,1,Stimuli\bumpercar.jpg,Left,Vehicle,1,2000,2000
94719,1,RUN1-21,308,314,miss,4,0,0,Stimuli\crumpledpaper.jpg,Left,Stationary,1,2000,4000
94719,1,RUN1-22,273,308,miss,4,0,0,Stimuli\portapotty.jpg,Left,Building infrastructure,1,4000,4000
94719,1,RUN1-23,224,273,Source miss,3,0,1,Stimuli\key07.jpg,Right,Household article,1,4000,6000
94719,1,RUN1-24,401,224,Source miss,3,0,1,Stimuli\button01.jpg,Right,Clothing,1,6000,2000
94719,1,RUN1-25,169,401,Source hit,1,1,1,Stimuli\scotchtape.jpg,Right,Stationary,1,2000,6000
94719,1,RUN1-26,218,169,Source hit,1,1,1,Stimuli\radiator.jpg,Right,Building infrastructure,1,6000,6000
94719,1,RUN1-27,475,218,Source miss,3,0,1,Stimuli\icebucket.jpg,Right,Kitchen,1,6000,6000
94719,1,RUN1-28,430,475,Source hit,1,1,1,Stimuli\speedball.jpg,Left,Outdoor & sport,1,6000,4000
94719,1,RUN1-29,769,430,Source hit,1,1,1,Stimuli\pilgrimhat.jpg,Right,Clothing,1,4000,4000
94719,1,RUN1-30,408,769,miss,4,0,0,Stimuli\ball02.jpg,Right,Game & entertainment,1,4000,2000
94719,1,RUN1-31,387,408,Source hit,1,1,1,Stimuli\bassguitar.jpg,Right,Musical instrument,1,2000,2000
