Index,ID,RUN,Trial,PreRT,PostRT,Fate,Acc_coded,Source_Acc_coded,Hit_Acc_coded,Stimuli,Location,Category,RET_RT,Order_Session,PreITI1duration,PostITI1duration
3465,51657,4,RUN4-35,300,405,Source hit,1,1,1,Stimuli\baseballbat.jpg,Left,Outdoor & sport,1560,4,4000,2000
3466,51657,4,RUN4-36,405,518,Source miss,3,0,1,Stimuli\frisbee.jpg,Right,Outdoor & sport,2096,4,2000,2000
3467,51657,4,RUN4-37,518,443,miss,4,0,0,Stimuli\parkingmeter.jpg,Right,Building infrastructure,1233,4,2000,4000
3468,51657,4,RUN4-38,443,363,miss,4,0,0,Stimuli\ashtray01.jpg,Left,Household article,1047,4,4000,2000
3469,51657,4,RUN4-39,363,417,miss,4,0,0,Stimuli\pottery.jpg,Left,Decorations & Gift,1397,4,2000,4000
3470,51657,4,RUN4-40,417,724,Source hit,1,1,1,Stimuli\metronome.jpg,Right,Musical instrument,636,4,4000,2000
3471,51657,4,RUN4-41,724,479,Source hit,1,1,1,Stimuli\road02.jpg,Right,Building infrastructure,1121,4,2000,6000
3472,51657,4,RUN4-42,479,382,Source hit,1,1,1,Stimuli\shoulderpad.jpg,Right,Outdoor & sport,1077,4,6000,2000
3473,51657,4,RUN4-43,382,639,miss,4,0,0,Stimuli\fonduefork01.jpg,Right,Kitchen,2703,4,2000,4000
3474,51657,4,RUN4-44,639,788,Source miss,3,0,1,Stimuli\christmasball.jpg,Left,Decorations & Gift,1540,4,4000,2000
3475,51657,4,RUN4-45,788,0,No response,0,0,0,Stimuli\wagonwheel.jpg,Left,Vehicle,0,4,2000,4000
3476,51657,4,RUN4-46,0,333,miss,4,0,0,Stimuli\bag.jpg,Left,Stationary,1069,4,4000,4000
3477,51657,4,RUN4-47,333,663,Source hit,1,1,1,Stimuli\scissors01.jpg,Left,Stationary,1362,4,4000,2000
3478,51657,4,RUN4-48,663,472,Source miss,3,0,1,Stimuli\wheelchair.jpg,Right,Vehicle,2076,4,2000,6000
3479,52342,1,RUN1-2,464,323,Source hit,1,1,1,Stimuli\key07.jpg,Right,Household article,1386,2,6000,6000
3480,52342,1,RUN1-3,323,0,No response,0,0,0,Stimuli\bumpercar.jpg,Left,Vehicle,0,2,6000,2000
3481,52342,1,RUN1-4,0,401,miss,4,0,0,Stimuli\springroll.jpg,Right,Food,1266,2,2000,4000
3482,52342,1,RUN1-5,401,719,Source hit,1,1,1,Stimuli\postitnote.jpg,Left,Stationary,1277,2,4000,2000
3483,52342,1,RUN1-6,719,297,Source missatribution,2,0,1,Stimuli\oneholepunch.jpg,Right,Stationary,1824,2,2000,4000
3484,52342,1,RUN1-7,297,0,Source hit,1,1,1,Stimuli\ball02.jpg,Right,Game & entertainment,1050,2,4000,2000
3485,52342,1,RUN1-8,0,391,Source hit,1,1,1,Stimuli\button01.jpg,Right,Clothing,1425,2,2000,2000
3486,52342,1,RUN1-9,391,265,Source hit,1,1,1,Stimuli\pilgrimhat.jpg,Right,Clothing,1626,2,2000,4000
3487,52342,1,RUN1-10,265,316,Source hit,1,1,1,Stimuli\scotchtape.jpg,Right,Stationary,1286,2,4000,6000
3488,52342,1,RUN1-11,316,354,Source missatribution,2,0,1,Stimuli\plasticgallon.jpg,Left,Household article,1734,2,6000,6000
3489,52342,1,RUN1-12,354,288,miss,4,0,0,Stimuli\sravelmug.jpg,Left,Kitchen,1618,2,6000,6000
3490,52342,1,RUN1-13,288,494,Source hit,1,1,1,Stimuli\gift01.jpg,Left,Decorations & Gift,1879,2,6000,2000
3491,52342,1,RUN1-14,494,0,Source hit,1,1,1,Stimuli\guitarcase.jpg,Left,Musical instrument,1073,2,2000,2000
3492,52342,1,RUN1-15,0,313,Source hit,1,1,1,Stimuli\cookiecutter.jpg,Right,Kitchen,764,2,2000,4000
3493,52342,1,RUN1-16,313,364,Source hit,1,1,1,Stimuli\blackolive.jpg,Right,Food,948,2,4000,6000
3494,52342,1,RUN1-17,364,289,Source hit,1,1,1,Stimuli\salsa.jpg,Left,Food,2487,2,6000,6000
3495,52342,1,RUN1-18,289,329,Source hit,1,1,1,Stimuli\radiator.jpg,Right,Building infrastructure,2421,2,6000,6000
3496,52342,1,RUN1-19,329,257,miss,4,0,0,Stimuli\speedball.jpg,Left,Outdoor & sport,2017,2,6000,4000
3497,52342,1,RUN1-20,257,0,No response,0,0,0,Stimuli\audiocablesplitter.jpg,Left,Electronics,0,2,4000,4000
3498,52342,1,RUN1-21,0,350,miss,4,0,0,Stimuli\rowboat.jpg,Right,Vehicle,1466,2,4000,6000
3499,52342,1,RUN1-22,350,272,miss,4,0,0,Stimuli\womenwashroomsign.jpg,Left,Building infrastructure,1494,2,6000,6000
3500,52342,1,RUN1-23,272,339,miss,4,0,0,Stimuli\musicsheet.jpg,Left,Musical instrument,1049,2,6000,6000
3501,52342,1,RUN1-24,339,0,Source hit,1,1,1,Stimuli\poloshirt.jpg,Left,Clothing,1560,2,6000,2000
3502,52342,1,RUN1-25,0,562,No response,0,0,0,Stimuli\snowman.jpg,Left,Outdoor & sport,0,2,2000,2000
3503,52342,1,RUN1-26,562,240,Source miss,3,0,1,Stimuli\payphone.jpg,Left,Electronics,1617,2,2000,6000
3504,52342,1,RUN1-27,240,307,miss,4,0,0,Stimuli\remotecontrol04.jpg,Right,Electronics,1995,2,6000,6000
3505,52342,1,RUN1-28,307,274,miss,4,0,0,Stimuli\glassescase.jpg,Left,Clothing,965,2,6000,6000
3506,52342,1,RUN1-29,274,0,miss,4,0,0,Stimuli\crumpledpaper.jpg,Left,Stationary,1630,2,6000,4000
3507,52342,1,RUN1-30,0,399,No response,0,0,0,Stimuli\slidetray.jpg,Right,Electronics,0,2,4000,2000
